,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
0,442530,1837883,3118921,970481,9363,163352,6877,36755,2297133,506186,175974703,277690552
1,402137,2115158,4764627,1129338,16963,121443,2862,71397,905229,402933,223438645,418483307
2,393050,28833,14769262,999021,844,318,39,5028,213,391262,232227893,730915145
3,398795,34970,14633400,998245,584,289,81,6203,183,394300,232289799,730779307
4,419897,31108,14579077,998787,552,311,157,6346,180,419818,232191795,728895006
5,252175,222553,7706268,850863,3619,4929,1733,38688,129080,289083,229223824,606692196
6,473035,1922963,9938238,70888,10878,46929,1669,71263,318585,468865,225972758,636218470
7,513696,2092188,10891555,30089,12984,15574,1095,117346,354631,529503,228978445,664716196
8,355007,1039260,4908110,75278,6598,22143,643,107174,233264,452757,227466394,484602955
9,272366,755177,5365702,512580,5743,15519,662,19746,45312,188017,231594928,569602640
10,472007,1730751,9090081,31220,9855,20737,1010,49609,150186,549573,227275274,605516110
11,613978,1430580,8144910,23198,7869,13618,331,26185,70120,636409,229647463,475830292
12,498207,1091495,4248270,71518,7130,17632,638,1862,148,460833,232216117,429493727
13,285979,958609,4127350,470060,2511,7589,781,116982,191914,364393,229309127,555207880
14,482359,2109492,10700702,35822,9704,18956,423,94027,225414,423910,229544313,612523957
15,550688,1259807,7349647,22653,7923,14217,1060,106989,326903,644645,229838684,453896164
16,361898,396856,2790672,43092,5131,16477,2780,103464,120576,313087,229865714,384869942
17,372545,1083174,4989492,248386,3158,8181,461,29854,151492,329439,229450493,508339016
18,454485,1954813,8276790,29411,6491,19032,1190,124716,272228,443059,228838687,536625621
19,450368,1693247,8061779,23806,7499,15480,787,93819,42370,599691,227718081,528588932
20,607079,759077,4105320,62001,5347,15769,324,1792,9961,701159,229970252,363785977
21,103264,447074,2226589,534031,4966,10817,1823,28266,33824,83595,230763923,495788665
22,473099,1778668,9367901,37644,9338,22994,1076,104409,181172,501770,226389970,616013055
