,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
0,337484,1465177,2762188,544087,11453,148827,11837,26387,1647216,395229,130904144,215413779
1,434014,2253570,4075286,1094485,23211,157940,6262,125096,925627,325693,223045257,438019473
2,394562,29024,14038420,941807,1201,5828,1170,5074,448,390595,232260778,714482117
3,388194,28571,14360913,977401,1193,311,648,5055,183,381357,232267098,716021237
4,413564,30574,14261278,976949,1439,349,531,6011,145,414647,232108324,713442181
5,373717,190079,10475828,655255,3140,6151,849,9549,26113,407816,232207764,686296835
6,458923,1711952,11506047,132896,10318,34999,1003,92644,324797,452896,227449174,628648490
7,577741,2247416,10552401,31180,10405,17628,1022,108109,158228,591712,227773875,648548862
8,424273,1320008,6992561,60661,10234,31749,1066,11081,36421,378203,230310087,481011834
9,269660,963594,3076901,499965,2825,13351,961,101223,189967,336311,228416141,501071986
10,472496,2044475,10185272,31587,9290,20447,719,107860,308380,462607,229319762,689812261
11,553375,1481315,8862174,22854,9728,16136,770,72084,211265,561998,230275217,491914429
12,580609,188052,3571748,53749,6194,18800,2687,100157,103898,426351,231724562,319427859
13,335752,947711,4115586,45027,3278,9749,1933,17114,98945,344477,228966463,501877292
14,462840,1692762,8960435,27693,10331,18075,1279,82680,251944,439951,228384581,609549282
15,529578,1293134,7567514,23692,7461,15660,1172,84609,90836,409500,228564192,452847356
16,508156,805428,3961097,59616,1562,1369,155,74431,262308,523732,229396422,410938475
17,212666,613818,3430134,449432,5089,12687,91,2467,56904,126455,228855386,466517292
18,466909,1835189,10271526,33246,11963,21211,997,30080,122111,468941,228743886,666686746
19,480931,1645115,9051133,27268,8656,13725,571,33962,119285,516980,227916147,616789227
20,638643,272063,3210920,31239,941,4432,386,2413,25196,508299,232225360,299730237
21,226107,400327,2083413,81246,8475,19968,1910,29844,72740,216733,231554044,466364520
22,458802,1991989,10581571,63530,7471,16616,822,120779,269962,412426,227207799,594076217
23,445496,1751527,8249620,23954,5668,12543,843,109517,162336,528848,227156086,488055424
24,634259,978622,5442289,26877,5436,12860,202,907,20285,670714,230669136,384022105
25,402059,669024,3143238,62599,7763,15969,524,2244,531,324582,232296927,417557026
26,417044,1481427,6390576,431782,6539,17620,1446,115980,175940,673431,227596621,576337181
27,400621,1476541,8388104,27988,9919,14981,390,2382,68281,377139,230021350,513947211
