,B,C,D,E
2,0.075129829,"7,44,589",branch-misses,-57.29%
3,0.075129829,"2,31,833",cache-misses,-67.97%
4,0.075129829,"96,67,348",L1-dcache-load-misses,-67.97%
5,0.075129829,"51,62,301",L1-icache-load-misses,-67.97%
6,0.075129829,"6,149",dTLB-load-misses,-69.91%
7,0.075129829,"16,751",dTLB-store-misses,-75.25%
8,0.075129829,"74,810",iTLB-load-misses,-42.71%
9,0.075129829,"14,514",LLC-load-misses,-40.77%
10,0.075129829,"1,04,936",LLC-store-misses,-35.43%
11,0.075129829,"7,32,020",branch-load-misses,-40.77%
12,0.075129829,"23,14,04,681",cycles,-46.11%
13,0.075129829,"49,63,62,643",instructions              #    2.14  insn per cycle,-51.44%
14,0.150341173,"6,86,784",branch-misses,-71.08%
15,0.150341173,"1,28,862",cache-misses,-81.72%
16,0.150341173,"1,14,53,249",L1-dcache-load-misses,-84.04%
17,0.150341173,"40,37,478",L1-icache-load-misses,-84.04%
18,0.150341173,"97,675",dTLB-load-misses,-82.11%
19,0.150341173,"12,933",dTLB-store-misses,-76.79%
20,0.150341173,"54,000",iTLB-load-misses,-21.28%
21,0.150341173,"13,173",LLC-load-misses,-23.21%
22,0.150341173,"81,779",LLC-store-misses,-28.52%
23,0.150341173,"6,89,057",branch-load-misses,-39.16%
24,0.150341173,"23,20,51,871",cycles,-49.79%
25,0.150341173,"47,25,61,901",instructions              #    2.04  insn per cycle,-60.43%
26,0.225534825,"6,24,231",branch-misses,-65.08%
27,0.225534825,"1,45,103",cache-misses,-70.40%
28,0.225534825,"1,17,04,343",L1-dcache-load-misses,-68.08%
29,0.225534825,"36,05,909",L1-icache-load-misses,-68.08%
30,0.225534825,"4,33,630",dTLB-load-misses,-68.08%
31,0.225534825,"15,492",dTLB-store-misses,-68.09%
32,0.225534825,"66,003",iTLB-load-misses,-42.56%
33,0.225534825,"13,692",LLC-load-misses,-42.56%
34,0.225534825,"76,504",LLC-store-misses,-42.55%
35,0.225534825,"6,18,620",branch-load-misses,-49.14%
36,0.225534825,"23,19,59,469",cycles,-54.46%
37,0.225534825,"45,98,56,782",instructions              #    1.98  insn per cycle,-59.78%
38,0.3007262,"5,75,496",branch-misses,-62.58%
39,0.3007262,"1,24,394",cache-misses,-73.22%
40,0.3007262,"1,22,04,268",L1-dcache-load-misses,-78.54%
41,0.3007262,"34,01,192",L1-icache-load-misses,-83.86%
42,0.3007262,"7,86,373",dTLB-load-misses,-84.04%
43,0.3007262,"17,788",dTLB-store-misses,-84.04%
44,0.3007262,"62,934",iTLB-load-misses,-26.79%
45,0.3007262,"15,787",LLC-load-misses,-21.47%
46,0.3007262,"68,350",LLC-store-misses,-21.28%
47,0.3007262,"5,82,222",branch-load-misses,-30.65%
48,0.3007262,"23,21,65,588",cycles,-41.29%
49,0.3007262,"45,34,32,673",instructions              #    1.95  insn per cycle,-51.93%
50,0.375886243,"5,50,001",branch-misses,-73.56%
51,0.375886243,"1,42,873",cache-misses,-78.88%
52,0.375886243,"1,26,19,649",L1-dcache-load-misses,-73.56%
53,0.375886243,"31,53,576",L1-icache-load-misses,-68.24%
54,0.375886243,"9,87,161",dTLB-load-misses,-68.08%
55,0.375886243,"17,846",dTLB-store-misses,-68.08%
56,0.375886243,"56,971",iTLB-load-misses,-37.07%
57,0.375886243,"15,938",LLC-load-misses,-42.38%
58,0.375886243,"63,676",LLC-store-misses,-42.57%
59,0.375886243,"5,43,048",branch-load-misses,-53.21%
60,0.375886243,"23,16,76,482",cycles,-62.93%
61,0.375886243,"44,42,07,729",instructions              #    1.92  insn per cycle,-68.25%
62,0.451083094,"5,13,645",branch-misses,-57.44%
63,0.451083094,"1,70,835",cache-misses,-68.08%
64,0.451083094,"1,27,02,469",L1-dcache-load-misses,-70.08%
65,0.451083094,"30,06,826",L1-icache-load-misses,-75.40%
66,0.451083094,"10,94,770",dTLB-load-misses,-80.72%
67,0.451083094,"16,779",dTLB-store-misses,-84.04%
68,0.451083094,"46,640",iTLB-load-misses,-35.24%
