#,started on Fri,01-10-2013 03:16,,
,,,,
#,time,counts unit,events,
,0.075138913,"2,65,288",branch-misses,-54.97%
,0.075138913,"24,02,382",cache-misses,-66.09%
,0.075138913,"31,87,593",L1-dcache-load-misses,-66.05%
,0.075138913,"8,53,460",L1-icache-load-misses,-67.96%
,0.075138913,"24,391",dTLB-load-misses,-73.62%
,0.075138913,"3,56,351",dTLB-store-misses,-79.26%
,0.075138913,"2,121",iTLB-load-misses,-43.37%
,0.075138913,"37,539",LLC-load-misses,-37.71%
,0.075138913,"21,40,169",LLC-store-misses,-32.05%
,0.075138913,"2,72,620",branch-load-misses,-37.72%
,0.075138913,"21,55,58,553",cycles,-43.35%
,0.075138913,"49,86,81,327",instructions              #    2.31  insn per cycle,-49.02%
,0.150366241,"2,41,850",branch-misses,-76.25%
,0.150366241,"28,80,909",cache-misses,-84.05%
,0.150366241,"32,84,574",L1-dcache-load-misses,-84.03%
,0.150366241,"84,742",L1-icache-load-misses,-82.24%
,0.150366241,"17,714",dTLB-load-misses,-76.93%
,0.150366241,"3,90,169",dTLB-store-misses,-71.61%
,0.150366241,329,iTLB-load-misses,-23.08%
,0.150366241,"43,064",LLC-load-misses,-28.39%
,0.150366241,"26,96,596",LLC-store-misses,-33.71%
,0.150366241,"2,41,090",branch-load-misses,-44.34%
,0.150366241,"23,10,74,860",cycles,-54.94%
,0.150366241,"52,59,78,130",instructions              #    2.28  insn per cycle,-65.58%
,0.225575284,"1,00,903",branch-misses,-59.89%
,0.225575284,"28,44,041",cache-misses,-68.07%
,0.225575284,"45,93,488",L1-dcache-load-misses,-68.05%
,0.225575284,"2,96,742",L1-icache-load-misses,-68.08%
,0.225575284,"21,763",dTLB-load-misses,-68.13%
,0.225575284,"3,83,992",dTLB-store-misses,-72.01%
,0.225575284,"3,271",iTLB-load-misses,-42.57%
,0.225575284,"2,04,165",LLC-load-misses,-42.51%
,0.225575284,"28,32,381",LLC-store-misses,-38.65%
,0.225575284,"1,22,922",branch-load-misses,-43.97%
,0.225575284,"22,58,98,699",cycles,-49.29%
,0.225575284,"48,37,16,602",instructions              #    2.14  insn per cycle,-54.59%
,0.300816145,"97,666",branch-misses,-67.65%
,0.300816145,"30,92,116",cache-misses,-78.29%
,0.300816145,"84,95,598",L1-dcache-load-misses,-83.61%
,0.300816145,"2,96,747",L1-icache-load-misses,-84.04%
,0.300816145,"19,294",dTLB-load-misses,-84.05%
,0.300816145,"3,35,958",dTLB-store-misses,-80.22%
,0.300816145,"9,273",iTLB-load-misses,-21.72%
,0.300816145,"4,83,524",LLC-load-misses,-21.27%
,0.300816145,"16,25,501",LLC-store-misses,-25.10%
,0.300816145,"93,369",branch-load-misses,-35.74%
,0.300816145,"22,38,26,467",cycles,-46.38%
,0.300816145,"44,06,52,693",instructions              #    1.97  insn per cycle,-57.01%
,0.376043719,"1,51,342",branch-misses,-68.52%
