#,started on Sat,01-10-2014 06:36,,
,,,,
#,time,counts unit,events,
,0.075126046,"42,679",branch-misses,-57.21%
,0.075126046,"54,71,115",cache-misses,-67.90%
,0.075126046,"62,54,879",L1-dcache-load-misses,-67.90%
,0.075126046,"2,01,948",L1-icache-load-misses,-68.51%
,0.075126046,"11,174",dTLB-load-misses,-73.86%
,0.075126046,"10,40,109",dTLB-store-misses,-79.20%
,0.075126046,215,iTLB-load-misses,-42.19%
,0.075126046,"46,282",LLC-load-misses,-36.84%
,0.075126046,"52,32,678",LLC-store-misses,-31.49%
,0.075126046,"32,447",branch-load-misses,-36.84%
,0.075126046,"34,12,21,595",cycles,-42.20%
,0.075126046,"35,55,80,960",instructions                     #    1.04  insn per cycle,-47.55%
,0.150349605,"30,68,636",branch-misses,-75.06%
,0.150349605,"32,50,491",cache-misses,-84.05%
,0.150349605,"38,36,183",L1-dcache-load-misses,-84.05%
,0.150349605,"1,49,740",L1-icache-load-misses,-83.45%
,0.150349605,"8,813",dTLB-load-misses,-78.13%
,0.150349605,"4,67,617",dTLB-store-misses,-72.81%
,0.150349605,"1,221",iTLB-load-misses,-21.86%
,0.150349605,"11,08,519",LLC-load-misses,-27.18%
,0.150349605,"24,89,267",LLC-store-misses,-32.50%
,0.150349605,"31,77,472",branch-load-misses,-43.14%
,0.150349605,"34,40,65,269",cycles,-53.77%
,0.150349605,"45,31,63,972",instructions                     #    1.32  insn per cycle,-64.41%
,0.225524316,"57,64,053",branch-misses,-61.11%
,0.225524316,"1,65,582",cache-misses,-68.08%
,0.225524316,"5,45,545",L1-dcache-load-misses,-68.07%
,0.225524316,"1,89,627",L1-icache-load-misses,-68.07%
,0.225524316,"3,907",dTLB-load-misses,-68.07%
,0.225524316,"8,277",dTLB-store-misses,-70.81%
,0.225524316,"1,663",iTLB-load-misses,-42.57%
,0.225524316,"19,764",LLC-load-misses,-42.57%
,0.225524316,"1,21,353",LLC-store-misses,-39.84%
,0.225524316,"57,67,378",branch-load-misses,-45.16%
,0.225524316,"34,43,00,148",cycles,-50.48%
,0.225524316,"58,64,27,087",instructions                     #    1.70  insn per cycle,-55.80%
,0.300696481,"57,31,303",branch-misses,-66.60%
,0.300696481,"1,87,893",cache-misses,-77.24%
,0.300696481,"5,65,182",L1-dcache-load-misses,-82.56%
,0.300696481,"1,87,412",L1-icache-load-misses,-84.04%
,0.300696481,"10,757",dTLB-load-misses,-84.04%
,0.300696481,"8,473",dTLB-store-misses,-81.30%
,0.300696481,"1,686",iTLB-load-misses,-22.77%
,0.300696481,"28,400",LLC-load-misses,-21.28%
,0.300696481,"1,22,824",LLC-store-misses,-24.02%
,0.300696481,"57,38,282",branch-load-misses,-34.66%
,0.300696481,"34,44,07,876",cycles,-45.30%
,0.300696481,"58,02,66,005",instructions                     #    1.68  insn per cycle,-55.94%
,0.375864649,"56,68,644",branch-misses,-69.54%
,0.375864649,"1,97,603",cache-misses,-74.87%
,0.375864649,"5,81,733",L1-dcache-load-misses,-69.55%
,0.375864649,"1,85,896",L1-icache-load-misses,-68.07%
,0.375864649,"17,505",dTLB-load-misses,-68.07%
,0.375864649,"8,573",dTLB-store-misses,-68.07%
,0.375864649,"1,762",iTLB-load-misses,-41.09%
,0.375864649,"31,206",LLC-load-misses,-42.57%
,0.375864649,"1,21,603",LLC-store-misses,-42.57%
,0.375864649,"56,65,032",branch-load-misses,-53.21%
,0.375864649,"34,44,25,512",cycles,-58.91%
,0.375864649,"58,08,19,756",instructions                     #    1.69  insn per cycle,-64.24%
,0.451032721,"56,74,724",branch-misses,-58.17%
,0.451032721,"2,09,853",cache-misses,-68.82%
,0.451032721,"5,94,657",L1-dcache-load-misses,-74.13%
,0.451032721,"1,84,694",L1-icache-load-misses,-79.45%
,0.451032721,"25,187",dTLB-load-misses,-84.03%
,0.451032721,"8,560",dTLB-store-misses,-84.03%
,0.451032721,"1,670",iTLB-load-misses,-31.20%
,0.451032721,"34,305",LLC-load-misses,-25.88%
,0.451032721,"1,25,144",LLC-store-misses,-21.29%
,0.451032721,"56,81,829",branch-load-misses,-26.61%
,0.451032721,"34,46,12,955",cycles,-36.88%
,0.451032721,"57,83,22,356",instructions                     #    1.68  insn per cycle,-47.52%
,0.526207859,"56,50,629",branch-misses,-77.97%
,0.526207859,"2,23,449",cache-misses,-83.30%
,0.526207859,"6,03,791",L1-dcache-load-misses,-77.98%
,0.526207859,"1,85,657",L1-icache-load-misses,-72.66%
,0.526207859,"30,189",dTLB-load-misses,-68.08%
,0.526207859,"8,527",dTLB-store-misses,-68.08%
,0.526207859,"1,962",iTLB-load-misses,-32.66%
,0.526207859,"36,900",LLC-load-misses,-37.98%
,0.526207859,"1,23,821",LLC-store-misses,-42.57%
,0.526207859,"56,65,837",branch-load-misses,-53.21%
