#,started on Sat,01-10-2014 06:44,,
,,,,
#,time,counts unit,events,
,0.075119676,"43,694",branch-misses,-57.23%
,0.075119676,"55,46,723",cache-misses,-67.93%
,0.075119676,"63,88,172",L1-dcache-load-misses,-67.92%
,0.075119676,"2,19,666",L1-icache-load-misses,-68.66%
,0.075119676,"9,615",dTLB-load-misses,-74.03%
,0.075119676,"10,67,177",dTLB-store-misses,-79.38%
,0.075119676,297,iTLB-load-misses,-42.03%
,0.075119676,"41,818",LLC-load-misses,-36.67%
,0.075119676,"53,04,195",LLC-store-misses,-31.33%
,0.075119676,"33,262",branch-load-misses,-36.68%
,0.075119676,"34,21,96,386",cycles,-42.02%
,0.075119676,"36,44,72,307",instructions                     #    1.07  insn per cycle,-47.37%
,0.150343399,"34,48,085",branch-misses,-75.21%
,0.150343399,"27,35,474",cache-misses,-84.05%
,0.150343399,"41,04,775",L1-dcache-load-misses,-84.05%
,0.150343399,"3,56,183",L1-icache-load-misses,-83.29%
,0.150343399,"5,629",dTLB-load-misses,-77.98%
,0.150343399,"4,31,988",dTLB-store-misses,-72.65%
,0.150343399,"6,198",iTLB-load-misses,-22.02%
,0.150343399,"38,644",LLC-load-misses,-27.34%
,0.150343399,"19,49,681",LLC-store-misses,-32.66%
,0.150343399,"38,64,456",branch-load-misses,-43.29%
,0.150343399,"34,36,70,144",cycles,-53.92%
,0.150343399,"41,96,50,312",instructions                     #    1.22  insn per cycle,-64.55%
,0.225534601,"56,96,599",branch-misses,-60.97%
,0.225534601,"4,31,745",cache-misses,-68.08%
,0.225534601,"12,78,612",L1-dcache-load-misses,-68.08%
,0.225534601,"4,50,067",L1-icache-load-misses,-68.08%
,0.225534601,"14,160",dTLB-load-misses,-68.08%
,0.225534601,"21,301",dTLB-store-misses,-70.94%
,0.225534601,"5,820",iTLB-load-misses,-42.56%
,0.225534601,"28,922",LLC-load-misses,-42.56%
,0.225534601,"3,89,791",LLC-store-misses,-39.70%
,0.225534601,"53,23,304",branch-load-misses,-45.02%
,0.225534601,"34,44,59,014",cycles,-50.34%
,0.225534601,"52,76,15,412",instructions                     #    1.53  insn per cycle,-55.66%
,0.300734018,"53,45,984",branch-misses,-66.70%
,0.300734018,"5,40,733",cache-misses,-77.34%
,0.300734018,"16,19,152",L1-dcache-load-misses,-82.66%
,0.300734018,"5,08,920",L1-icache-load-misses,-84.04%
,0.300734018,"24,111",dTLB-load-misses,-84.04%
,0.300734018,"24,435",dTLB-store-misses,-81.18%
,0.300734018,"4,252",iTLB-load-misses,-22.67%
,0.300734018,"65,282",LLC-load-misses,-21.28%
,0.300734018,"3,03,538",LLC-store-misses,-24.14%
,0.300734018,"58,34,891",branch-load-misses,-34.77%
,0.300734018,"34,46,86,592",cycles,-45.41%
,0.300734018,"55,58,41,015",instructions                     #    1.61  insn per cycle,-56.05%
,0.37591345,"60,85,165",branch-misses,-69.46%
,0.37591345,"4,86,632",cache-misses,-74.78%
,0.37591345,"14,13,950",L1-dcache-load-misses,-69.46%
,0.37591345,"4,82,571",L1-icache-load-misses,-68.08%
,0.37591345,"39,481",dTLB-load-misses,-68.08%
,0.37591345,"19,616",dTLB-store-misses,-68.08%
,0.37591345,"4,593",iTLB-load-misses,-41.17%
,0.37591345,"80,793",LLC-load-misses,-42.56%
,0.37591345,"3,17,133",LLC-store-misses,-42.57%
,0.37591345,"63,00,590",branch-load-misses,-53.21%
,0.37591345,"34,45,96,516",cycles,-58.83%
,0.37591345,"47,85,94,974",instructions                     #    1.39  insn per cycle,-64.15%
,0.451101309,"64,16,642",branch-misses,-58.23%
,0.451101309,"5,27,065",cache-misses,-68.87%
,0.451101309,"15,85,552",L1-dcache-load-misses,-74.19%
,0.451101309,"4,65,463",L1-icache-load-misses,-79.50%
,0.451101309,"66,349",dTLB-load-misses,-84.04%
,0.451101309,"21,213",dTLB-store-misses,-84.04%
,0.451101309,"5,038",iTLB-load-misses,-31.14%
,0.451101309,"94,701",LLC-load-misses,-25.82%
,0.451101309,"3,11,037",LLC-store-misses,-21.28%
,0.451101309,"64,32,554",branch-load-misses,-26.60%
,0.451101309,"34,46,18,209",cycles,-36.94%
,0.451101309,"44,94,87,766",instructions                     #    1.30  insn per cycle,-47.57%
,0.526297428,"2,40,004",branch-misses,-77.92%
,0.526297428,"13,16,616",cache-misses,-83.24%
,0.526297428,"22,66,904",L1-dcache-load-misses,-77.94%
,0.526297428,"30,495",L1-icache-load-misses,-72.62%
,0.526297428,"4,021",dTLB-load-misses,-68.10%
,0.526297428,"1,02,670",dTLB-store-misses,-68.08%
,0.526297428,373,iTLB-load-misses,-32.70%
